year,month,week,region,retailer_code,retailer_name,brand_code,brand,pos_units,pos_amount,inv_units,inv_amount
2020,4,12,DE,R002,Amazon,B060,Monster Trucks,315,8592.83,116,3322.16
2020,3,10,SK,R002,Amazon,B001,Art,204,11337.09,121,5993.54
2020,6,6,DE,R017,Edeka,B051,Dragamonz,290,16165.29,333,16658.94
2020,8,9,AU,R027,Coles,B018,Cheeky Chonks,398,11856.81,263,6467.66
2020,11,11,CN,R001,Walmart,B032,Vida the Vet,551,34748.38,411,26450.74
2020,8,13,CA,R023,Loblaws,B016,Purse Pets,360,17274.66,373,17627.84
2020,7,10,FR,R002,Amazon,B057,Ben 10,300,8892.98,177,4835.49
2020,1,4,NL,R002,Amazon,B041,Kids Puzzles,221,7037.48,253,7129.91
2020,12,9,DE,R016,Lidl,B012,Paw Patrol Activity,158,9498.04,121,7451.9
2020,4,4,AT,R001,Walmart,B009,Meccano,509,16326.68,488,16212.48
2020,2,6,SK,R001,Walmart,B052,Ionix Pokemon,552,26620.18,240,11866.31
2020,8,13,AA,R001,Walmart,B009,Meccano,548,12239.77,435,8372.97
2020,12,6,CH,R001,Walmart,B029,Paw Patrol Construction,493,20624.45,213,8649.8
2020,6,12,CN,R001,Walmart,B067,Gund License Train Dragon,540,33789.26,305,16136.24
2020,10,13,MX,R002,Amazon,B062,SONY PLAYSTATION,125,7457.73,74,4572.11
2020,4,2,PT,R002,Amazon,B025,Popples,226,9023.74,97,3804.94
2020,1,8,UK,R010,Waitrose,B043,Big Potato Games,220,12357.24,205,11873.53
2020,5,2,SK,R001,Walmart,B060,Monster Trucks,457,33217.03,402,31577.66
2020,6,4,WE,R001,Walmart,B071,Gund License Disney,484,21965.89,291,13675.48
2020,6,4,CZ,R002,Amazon,B008,Kinetic Sand,233,3883.51,176,2747.25
2020,7,8,ES,R001,Walmart,B075,Ionix Dragons,572,18256.94,622,17850.95
2020,7,13,PT,R002,Amazon,B016,Purse Pets,314,11301.32,232,7787.04
2020,10,11,BE,R001,Walmart,B045,Rubiks,473,27415.89,224,11205.51
2020,2,11,AU,R027,Coles,B073,Redakai,323,11147.98,336,12052.91
2020,6,6,DE,R001,Walmart,B065,Teen Titans Go,465,19494.2,311,10530.99
2020,8,3,WE,R002,Amazon,B058,DC Universe,214,13500.0,206,12450.26
2020,3,9,PT,R001,Walmart,B059,Black Adam Movie,463,9783.52,520,8812.58
2020,6,13,PT,R001,Walmart,B023,DigiBird,450,10906.51,302,7561.54
2020,10,4,MX,R002,Amazon,B015,Masha & The Bear,245,10167.22,162,5735.1
2020,1,9,BE,R001,Walmart,B054,Spy Gear,466,25628.27,255,13967.82
2020,4,6,IN,R001,Walmart,B012,Paw Patrol Activity,489,33630.5,228,16751.14
2020,9,9,CN,R001,Walmart,B069,Gund License Vida the Vet,527,21350.66,369,12077.74
2020,9,10,MX,R001,Walmart,B066,GUND,448,9205.39,273,4750.4
2020,4,7,IN,R014,Spencer,B017,BITZEE,214,5261.92,166,3671.75
2020,7,8,RO,R002,Amazon,B069,Gund License Vida the Vet,259,13176.92,167,8816.66
2020,8,8,RO,R002,Amazon,B052,Ionix Pokemon,145,8095.55,162,8792.71
2020,1,8,CA,R025,Sobeys,B042,Board Games,252,10171.11,253,10805.53
2020,9,7,IT,R001,Walmart,B031,Paw Patrol,568,10733.06,336,5546.56
2020,12,6,CA,R002,Amazon,B054,Spy Gear,212,9666.57,107,4314.42
2020,7,2,WE,R002,Amazon,B073,Redakai,367,13680.79,299,11150.03
2020,11,4,UK,R002,Amazon,B026,Crystal Dragons,282,15172.88,144,6939.63
2020,11,3,IN,R011,Reliance Retail,B069,Gund License Vida the Vet,215,8684.38,83,3474.14
2020,3,7,PT,R002,Amazon,B046,Puzz4D Brand,274,4797.3,293,5086.64
2020,5,1,FR,R001,Walmart,B024,Hatchimals,495,33844.91,567,31935.28
2020,6,4,BE,R001,Walmart,B057,Ben 10,585,29407.1,312,15573.83
2020,2,2,NL,R002,Amazon,B076,Flash,282,9718.37,90,2961.6
2020,2,10,IT,R001,Walmart,B023,DigiBird,522,28468.0,183,9919.83
2020,3,3,DE,R001,Walmart,B063,Star Wars,463,11568.13,145,3166.78
2020,12,12,ES,R002,Amazon,B014,PixOs,188,12618.92,150,9350.44
2020,8,12,RO,R001,Walmart,B038,Party Other Games,563,11337.54,371,6824.2
2020,3,7,FR,R001,Walmart,B062,SONY PLAYSTATION,534,36159.78,325,23750.28
2020,5,7,NL,R002,Amazon,B018,Cheeky Chonks,155,8438.15,102,5279.3
2020,7,7,UK,R009,Asda,B075,Ionix Dragons,150,4340.18,153,4107.97
2020,4,1,IT,R001,Walmart,B066,GUND,471,20539.69,268,10121.43
2020,11,1,SK,R001,Walmart,B016,Purse Pets,493,30011.53,227,13844.33
2020,10,9,AU,R001,Walmart,B009,Meccano,591,38112.06,530,29632.91
2020,3,9,DE,R002,Amazon,B038,Party Other Games,281,4336.05,139,2227.02
2020,8,13,RO,R001,Walmart,B003,Craft Cool,603,21486.97,609,20329.54
2020,8,4,MX,R001,Walmart,B063,Star Wars,542,22051.23,358,14885.4
2020,5,9,AU,R027,Coles,B060,Monster Trucks,308,21887.36,239,17598.07
2020,8,10,CH,R002,Amazon,B065,Teen Titans Go,336,15214.13,307,14479.15
2020,5,9,IT,R001,Walmart,B070,Gund Baby,549,34237.4,432,26163.14
2020,2,11,IN,R002,Amazon,B032,Vida the Vet,285,14087.78,285,12162.48
2020,12,4,FR,R001,Walmart,B072,Gund License Paw Patrol,481,25537.37,402,18478.28
2020,8,8,DE,R018,Rewe,B043,Big Potato Games,332,9994.99,156,4804.37
2020,1,8,AU,R028,IGA,B042,Board Games,329,21116.33,347,22487.83
2020,7,12,DE,R001,Walmart,B053,Minecraft,534,22331.7,499,18315.73
2020,3,13,US,R005,Best Buy,B054,Spy Gear,189,9000.45,184,9537.59
2020,6,2,PT,R001,Walmart,B069,Gund License Vida the Vet,460,20357.82,223,9599.87
2020,9,5,IT,R001,Walmart,B058,DC Universe,479,18557.48,534,17454.82
2020,2,7,CN,R001,Walmart,B074,Super Dinosaur,518,35693.79,485,28319.81
2020,7,2,CH,R001,Walmart,B072,Gund License Paw Patrol,585,22303.31,450,16187.98
2020,9,3,DE,R015,Aldi,B042,Board Games,165,7706.98,184,8468.85
2020,7,6,IN,R002,Amazon,B018,Cheeky Chonks,300,8674.89,297,8095.4
2020,12,11,AA,R001,Walmart,B002,Text Cool,434,15012.17,180,6384.53
2020,2,10,DE,R016,Lidl,B060,Monster Trucks,259,6528.42,241,5249.42
2020,8,9,PL,R001,Walmart,B003,Craft Cool,493,36238.75,491,33366.12
2020,6,8,ES,R001,Walmart,B031,Paw Patrol,395,23146.36,410,20959.62
2020,6,13,BE,R002,Amazon,B039,Cardinal Games,183,5661.02,133,3727.73
2020,3,3,PL,R001,Walmart,B075,Ionix Dragons,496,30445.32,474,29714.57
2020,8,11,FR,R001,Walmart,B057,Ben 10,469,13572.74,393,11850.61
2020,7,1,RO,R002,Amazon,B026,Crystal Dragons,187,11320.62,142,8361.43
2020,7,9,CN,R002,Amazon,B050,Bakugan,321,18357.65,202,12265.33
2020,11,13,MX,R002,Amazon,B044,Hedbanz,181,11100.84,145,8479.27
2020,2,1,NL,R002,Amazon,B060,Monster Trucks,235,5338.55,88,1703.11
2020,7,3,AT,R001,Walmart,B068,Gund License Pusheen,533,14794.61,580,15410.71
2020,3,9,CH,R002,Amazon,B024,Hatchimals,275,9909.21,191,5778.94
2020,4,1,FR,R002,Amazon,B004,Cool Maker,225,5683.91,136,3352.0
2020,7,11,NL,R002,Amazon,B007,Kinetic Rock,291,17894.54,209,10678.92
2020,7,12,CA,R025,Sobeys,B019,Furprize,296,21921.94,281,22665.44
2020,11,9,UK,R007,Tesco,B030,Paw Value Channel,318,20707.24,123,8147.72
2020,12,5,CA,R025,Sobeys,B042,Board Games,385,23322.2,443,26890.97
2020,12,1,SK,R002,Amazon,B041,Kids Puzzles,172,4799.21,141,4039.04
2020,12,4,RO,R001,Walmart,B003,Craft Cool,466,16639.18,249,7444.58
2020,11,7,CN,R001,Walmart,B015,Masha & The Bear,520,10514.65,494,8775.25
2020,6,4,AU,R028,IGA,B026,Crystal Dragons,234,6126.94,100,2794.45
2020,2,2,PT,R001,Walmart,B066,GUND,476,32917.88,219,13907.81
2020,12,1,US,R001,Walmart,B026,Crystal Dragons,494,9069.82,539,10601.58
2020,3,10,PT,R002,Amazon,B070,Gund Baby,341,10074.02,149,3860.21
2020,4,12,CA,R001,Walmart,B064,TMNT,505,9709.95,265,5412.24
2020,1,4,CN,R002,Amazon,B027,Mighty Express,269,10830.24,231,8838.02
2020,7,10,PL,R002,Amazon,B052,Ionix Pokemon,164,12071.8,70,4528.87
2020,6,12,ES,R002,Amazon,B030,Paw Value Channel,272,4241.79,209,2694.64
2020,2,3,AU,R027,Coles,B062,SONY PLAYSTATION,332,20755.46,270,16592.64
2020,4,4,NL,R002,Amazon,B005,Knits Cool,199,8576.42,100,3573.37
2020,3,4,SK,R002,Amazon,B021,Whiffies,212,3386.99,251,3738.01
2020,8,12,UK,R008,Sainsbury,B011,Orbeez,261,13514.46,96,5224.27
2020,1,13,RO,R002,Amazon,B012,Paw Patrol Activity,287,12428.83,177,6184.42
2020,4,12,CA,R023,Loblaws,B043,Big Potato Games,338,23261.18,293,21962.93
2020,10,6,IN,R002,Amazon,B035,GabbysDollhouseValue,244,7708.52,167,5488.85
2020,4,10,CA,R001,Walmart,B061,Monster Jam,486,17511.6,215,6835.2
2020,5,6,WE,R001,Walmart,B073,Redakai,531,8107.33,205,3346.53
2020,1,13,RO,R002,Amazon,B043,Big Potato Games,178,9232.39,65,3561.34
2020,2,7,CA,R001,Walmart,B013,Aqua Dots,495,28193.42,220,13261.66
2020,1,11,PT,R002,Amazon,B050,Bakugan,229,7956.46,243,8479.6
2020,6,5,DE,R015,Aldi,B019,Furprize,245,6278.4,122,2880.09
2020,11,13,CZ,R002,Amazon,B053,Minecraft,171,3396.47,139,2566.11
2020,9,10,US,R006,Walgreens,B026,Crystal Dragons,168,5787.6,194,6276.4
2020,8,4,UK,R002,Amazon,B039,Cardinal Games,227,6204.78,89,2635.11
2020,9,9,WE,R001,Walmart,B063,Star Wars,520,8544.99,402,5407.65
2020,1,3,UK,R001,Walmart,B003,Craft Cool,504,23279.61,568,20990.23
2020,7,3,PT,R001,Walmart,B007,Kinetic Rock,528,20165.03,388,12178.83
2020,11,8,PT,R002,Amazon,B023,DigiBird,209,12028.6,176,9396.91
2020,8,3,US,R006,Walgreens,B051,Dragamonz,237,8922.7,248,7632.58
2020,5,1,AA,R002,Amazon,B003,Craft Cool,190,4813.38,121,2650.38
2020,8,3,US,R002,Amazon,B004,Cool Maker,181,11984.87,79,4718.8
2020,1,8,SK,R002,Amazon,B069,Gund License Vida the Vet,288,14016.06,242,12600.76
2020,8,5,NL,R002,Amazon,B014,PixOs,185,7416.0,176,6993.81
2020,6,5,UK,R001,Walmart,B026,Crystal Dragons,494,12508.65,479,11230.0
2020,2,1,WE,R002,Amazon,B005,Knits Cool,119,7480.26,45,3015.94
2020,8,3,UK,R010,Waitrose,B035,GabbysDollhouseValue,295,14543.34,134,7082.88
2020,6,1,PL,R002,Amazon,B070,Gund Baby,336,5988.2,169,3099.51
2020,3,3,BE,R001,Walmart,B010,MoonLite,426,18849.64,154,6794.54
2020,7,2,DE,R017,Edeka,B013,Aqua Dots,211,7442.44,235,8914.1
2020,10,3,CH,R001,Walmart,B062,SONY PLAYSTATION,472,21104.13,532,19268.47
2020,6,5,US,R001,Walmart,B001,Art,587,15978.41,518,15287.79
2020,12,11,PT,R001,Walmart,B054,Spy Gear,470,21228.03,383,18838.96
2020,8,2,CZ,R002,Amazon,B061,Monster Jam,226,3624.03,118,1606.93
2020,2,10,WE,R002,Amazon,B030,Paw Value Channel,192,10484.07,188,11262.38
2020,5,7,PL,R001,Walmart,B010,MoonLite,536,37180.89,360,22721.84
2020,9,3,DE,R018,Rewe,B041,Kids Puzzles,242,5553.35,266,6139.1
2020,5,11,MX,R002,Amazon,B030,Paw Value Channel,183,7903.47,178,7098.13
2020,3,12,AA,R001,Walmart,B021,Whiffies,486,20446.16,452,19625.88
2020,5,2,US,R001,Walmart,B064,TMNT,424,31331.27,315,21931.9
2020,1,8,CZ,R001,Walmart,B001,Art,497,35113.69,500,32569.34
2020,11,10,NL,R001,Walmart,B058,DC Universe,478,11187.26,484,9605.49
2020,11,12,RO,R002,Amazon,B025,Popples,218,14586.56,200,11114.93
2020,3,6,UK,R007,Tesco,B038,Party Other Games,278,9290.37,144,5173.23
2020,3,6,CN,R002,Amazon,B051,Dragamonz,331,21348.85,252,16620.46
2020,10,7,CN,R001,Walmart,B059,Black Adam Movie,476,8108.11,464,7097.09
2020,10,9,US,R006,Walgreens,B072,Gund License Paw Patrol,235,14314.21,270,15304.05
2020,11,4,SK,R001,Walmart,B075,Ionix Dragons,586,11289.57,239,3758.55
2020,11,9,WE,R002,Amazon,B032,Vida the Vet,240,6433.89,283,7966.77
2020,4,5,CZ,R002,Amazon,B034,Dora the Explorer,300,12756.14,108,3806.78
2020,2,2,IT,R001,Walmart,B069,Gund License Vida the Vet,574,18380.96,359,11150.42
2020,5,1,DE,R002,Amazon,B001,Art,301,7147.52,306,6633.24
2020,6,6,CA,R025,Sobeys,B053,Minecraft,305,18202.69,332,17441.38
2020,2,3,US,R004,Target,B068,Gund License Pusheen,266,7256.28,122,2955.91
2020,9,13,PT,R001,Walmart,B010,MoonLite,430,11174.26,294,7765.85
2020,1,11,FR,R002,Amazon,B074,Super Dinosaur,279,20040.84,325,22772.73
2020,11,13,WE,R001,Walmart,B003,Craft Cool,514,24615.31,155,6046.86
2020,4,4,IN,R013,DMart,B037,Marbles,235,12727.23,270,13206.24
2020,3,3,UK,R008,Sainsbury,B010,MoonLite,279,20510.5,167,10941.15
2020,6,13,US,R006,Walgreens,B047,Air Hogs,256,5497.57,92,2169.2
2020,4,11,SK,R002,Amazon,B031,Paw Patrol,246,7862.44,124,4133.74
2020,2,5,CH,R001,Walmart,B044,Hedbanz,577,19234.33,495,17612.6
2020,3,13,CN,R002,Amazon,B027,Mighty Express,216,5628.8,197,5563.13
2020,3,10,CN,R002,Amazon,B045,Rubiks,219,10157.07,83,3985.43
2020,8,11,PL,R001,Walmart,B037,Marbles,555,29297.06,348,19478.46
2020,10,1,RO,R001,Walmart,B063,Star Wars,475,25780.75,407,20668.81
2020,8,7,WE,R001,Walmart,B029,Paw Patrol Construction,487,9145.33,379,5897.91
2020,6,6,BE,R001,Walmart,B007,Kinetic Rock,504,25008.82,500,23197.77
2020,6,10,SK,R001,Walmart,B059,Black Adam Movie,594,17093.61,559,15985.21
2020,4,1,CH,R002,Amazon,B027,Mighty Express,256,9698.0,227,7125.93
2020,1,3,CA,R002,Amazon,B004,Cool Maker,175,9712.05,61,3330.74
2020,2,5,RO,R001,Walmart,B017,BITZEE,563,8693.3,369,4809.46
2020,6,9,UK,R010,Waitrose,B004,Cool Maker,172,9120.03,129,5647.8
2020,10,11,IT,R002,Amazon,B002,Text Cool,290,16160.82,255,12160.99
2020,3,3,IT,R001,Walmart,B010,MoonLite,420,17427.26,296,10254.29
2020,10,10,MX,R001,Walmart,B047,Air Hogs,483,27204.99,524,27645.08
2020,3,10,WE,R001,Walmart,B051,Dragamonz,583,26974.13,571,25784.03
2020,6,2,FR,R001,Walmart,B026,Crystal Dragons,510,32904.73,306,16583.92
2020,7,12,MX,R001,Walmart,B060,Monster Trucks,434,9473.71,390,8181.06
2020,3,13,RO,R002,Amazon,B040,Adult Puzzles,261,5634.83,276,5910.42
2020,9,6,US,R003,Costco,B058,DC Universe,280,19692.66,174,10364.91
2020,6,12,PL,R001,Walmart,B022,Zoobles,455,14799.79,348,9665.29
2020,7,13,DE,R001,Walmart,B004,Cool Maker,545,38910.24,532,36085.24
2020,4,2,AA,R001,Walmart,B048,HEX,538,32145.29,164,10398.46
2020,3,13,ES,R002,Amazon,B072,Gund License Paw Patrol,231,7774.78,115,3369.15
2020,12,12,CH,R002,Amazon,B064,TMNT,200,13279.44,101,6949.34
2020,8,2,NL,R001,Walmart,B012,Paw Patrol Activity,519,10329.22,527,10510.03
2020,4,1,UK,R010,Waitrose,B074,Super Dinosaur,231,7205.75,72,2367.56
2020,9,12,US,R003,Costco,B035,GabbysDollhouseValue,179,9359.74,200,10145.8
2020,10,5,ES,R001,Walmart,B046,Puzz4D Brand,482,22909.37,260,12799.3
2020,11,10,CA,R002,Amazon,B007,Kinetic Rock,231,17298.31,127,10195.78
2020,12,13,CA,R023,Loblaws,B035,GabbysDollhouseValue,260,10900.87,110,4791.51
2020,4,13,AA,R002,Amazon,B035,GabbysDollhouseValue,176,3543.73,210,3571.65
2020,7,10,PL,R002,Amazon,B053,Minecraft,236,11349.72,182,8771.18
2020,8,5,NL,R002,Amazon,B059,Black Adam Movie,256,13677.55,264,11337.31
2020,4,8,PT,R001,Walmart,B019,Furprize,498,27660.49,308,17560.64
2020,7,3,NL,R002,Amazon,B074,Super Dinosaur,262,14332.09,314,15045.66
2020,9,2,MX,R002,Amazon,B068,Gund License Pusheen,258,17341.22,151,9093.33
2020,10,8,BE,R001,Walmart,B042,Board Games,447,12757.78,320,9188.39
2020,7,3,PL,R001,Walmart,B060,Monster Trucks,413,6954.13,152,2593.65
2020,9,8,RO,R002,Amazon,B050,Bakugan,232,13044.13,189,8706.91
2020,9,1,PL,R001,Walmart,B024,Hatchimals,497,12186.5,326,8302.87
2020,1,6,WE,R001,Walmart,B070,Gund Baby,522,33905.48,174,11869.04
2020,8,13,IT,R001,Walmart,B018,Cheeky Chonks,410,8632.08,259,5128.76
2020,12,6,DE,R001,Walmart,B065,Teen Titans Go,590,26497.6,592,27895.98
2020,4,1,AT,R001,Walmart,B038,Party Other Games,529,23482.03,347,13456.65
2020,6,5,WE,R002,Amazon,B047,Air Hogs,336,10523.76,226,6209.35
2020,11,6,SK,R002,Amazon,B076,Flash,215,10904.6,232,10967.17
2020,7,12,RO,R002,Amazon,B008,Kinetic Sand,321,20454.39,236,14344.12
2020,8,3,US,R005,Best Buy,B071,Gund License Disney,218,6540.53,168,4100.78
2020,11,4,US,R003,Costco,B032,Vida the Vet,257,17214.86,216,12096.11
2020,1,3,ES,R001,Walmart,B009,Meccano,485,32666.79,491,26625.84
2020,11,9,BE,R002,Amazon,B005,Knits Cool,281,17210.15,206,12674.95
2020,6,8,BE,R001,Walmart,B037,Marbles,577,11187.91,573,11545.26
2020,9,7,RO,R002,Amazon,B039,Cardinal Games,236,14417.56,197,9697.01
2020,1,8,CZ,R002,Amazon,B052,Ionix Pokemon,253,9085.14,258,9819.37
2020,7,8,IT,R001,Walmart,B028,Rusty Rivets,439,19122.34,241,9813.88
2020,1,13,UK,R002,Amazon,B032,Vida the Vet,317,10565.15,222,7040.02
2020,7,2,CH,R001,Walmart,B028,Rusty Rivets,463,32675.74,266,19330.17
2020,6,1,DE,R002,Amazon,B051,Dragamonz,244,12978.77,165,8421.21
2020,11,8,AT,R001,Walmart,B019,Furprize,403,8099.52,169,3354.94
2020,10,11,AA,R001,Walmart,B048,HEX,424,23718.26,133,6389.76
2020,12,11,PL,R002,Amazon,B043,Big Potato Games,204,7995.13,101,4028.28
2020,12,12,ES,R002,Amazon,B071,Gund License Disney,193,6767.28,216,6341.89
2020,10,12,IN,R001,Walmart,B010,MoonLite,483,20595.77,411,17093.47
2020,6,9,CH,R002,Amazon,B014,PixOs,166,11113.27,99,5494.88
2020,12,11,US,R003,Costco,B074,Super Dinosaur,253,10822.29,118,4315.02
2020,1,8,ES,R002,Amazon,B014,PixOs,248,9590.37,192,6331.59
2020,4,11,CA,R001,Walmart,B040,Adult Puzzles,426,12020.97,246,6584.45
2020,3,13,NL,R001,Walmart,B027,Mighty Express,463,19507.4,395,15429.28
2020,10,8,FR,R001,Walmart,B033,Firebuds,476,32986.12,469,27704.24
2020,6,4,RO,R001,Walmart,B064,TMNT,467,11612.62,170,4030.37
2020,3,7,UK,R010,Waitrose,B076,Flash,239,3840.59,277,4878.9
2020,12,1,RO,R001,Walmart,B065,Teen Titans Go,478,24854.76,296,12664.15
2020,4,11,WE,R001,Walmart,B035,GabbysDollhouseValue,563,29139.52,331,17286.52
2020,9,3,DE,R017,Edeka,B008,Kinetic Sand,199,5146.9,147,4123.55
2020,6,1,UK,R008,Sainsbury,B035,GabbysDollhouseValue,233,3737.6,229,3211.11
2020,10,13,CZ,R001,Walmart,B053,Minecraft,489,25437.83,508,24138.08
2020,4,13,CH,R001,Walmart,B016,Purse Pets,590,9219.63,225,3213.42
2020,11,13,NL,R002,Amazon,B052,Ionix Pokemon,347,21146.4,306,20197.05
2020,10,4,MX,R001,Walmart,B065,Teen Titans Go,488,28153.58,257,13692.07
2020,11,9,NL,R002,Amazon,B024,Hatchimals,191,6639.59,115,4154.6
2020,6,2,CH,R001,Walmart,B017,BITZEE,442,13069.81,190,5907.24
2020,8,13,IT,R002,Amazon,B003,Craft Cool,255,10660.59,131,4495.93
2020,3,10,DE,R016,Lidl,B064,TMNT,301,8361.75,251,5643.98
2020,7,10,AT,R001,Walmart,B058,DC Universe,526,31603.62,467,26973.61
2020,1,8,AA,R002,Amazon,B036,Gabbys Dollhouse,302,16642.14,174,7728.35
2020,8,13,IT,R002,Amazon,B050,Bakugan,223,15692.54,246,16818.12
2020,3,9,AU,R002,Amazon,B074,Super Dinosaur,175,6493.3,58,2214.9
2020,2,1,NL,R001,Walmart,B019,Furprize,479,11412.21,482,10971.05
2020,1,13,NL,R001,Walmart,B002,Text Cool,485,20661.97,573,23450.36
2020,4,13,RO,R002,Amazon,B009,Meccano,225,10222.49,237,11142.97
