year,month,week,region,shipment_type,retailer_code,retailer_name,brand_code,brand,shp_units,shp_amount
2020,9,24,CZ,DOM,R002,Amazon,B005,Knits Cool,253,14044.65
2020,2,21,AT,DOM,R001,Walmart,B012,Paw Patrol Activity,549,11818.68
2020,7,14,DE,FOB,R017,Edeka,B060,Monster Trucks,245,17106.11
2020,7,15,US,FOB,R002,Amazon,B019,Furprize,196,11403.67
2020,4,23,NL,FOB,R001,Walmart,B015,Masha & The Bear,520,9593.54
2020,1,14,IN,DOM,R014,Spencer,B046,Puzz4D Brand,272,15443.4
2020,12,13,CN,FOB,R001,Walmart,B036,Gabbys Dollhouse,526,27951.0
2020,7,21,DE,DOM,R001,Walmart,B003,Craft Cool,536,26173.08
2020,6,20,AT,FOB,R001,Walmart,B057,Ben 10,508,17934.96
2020,5,11,US,FOB,R006,Walgreens,B039,Cardinal Games,312,14704.08
2020,10,13,CA,DOM,R024,Metro,B028,Rusty Rivets,346,23123.72
2020,4,25,AU,DOM,R026,Woolworths AU,B052,Ionix Pokemon,316,14924.55
2020,4,23,PL,DOM,R001,Walmart,B048,HEX,512,21618.14
2020,1,17,WE,DOM,R002,Amazon,B021,Whiffies,264,16425.89
2020,5,22,CZ,DOM,R001,Walmart,B031,Paw Patrol,514,21327.63
2020,8,15,IN,FOB,R012,Big Bazaar,B060,Monster Trucks,246,4388.73
2020,2,17,PL,DOM,R001,Walmart,B043,Big Potato Games,497,7303.47
2020,12,23,WE,DOM,R001,Walmart,B043,Big Potato Games,530,27155.82
2020,3,19,IT,FOB,R002,Amazon,B029,Paw Patrol Construction,270,9433.82
2020,11,10,FR,FOB,R001,Walmart,B045,Rubiks,499,30804.61
2020,9,13,IN,DOM,R013,DMart,B072,Gund License Paw Patrol,245,15023.5
2020,9,14,BE,DOM,R002,Amazon,B033,Firebuds,257,9507.08
2020,2,19,PL,FOB,R001,Walmart,B017,BITZEE,476,13991.11
2020,12,19,SK,DOM,R002,Amazon,B063,Star Wars,353,22250.83
2020,11,24,RO,FOB,R001,Walmart,B013,Aqua Dots,518,33206.33
2020,7,15,AT,FOB,R001,Walmart,B029,Paw Patrol Construction,477,32170.06
2020,7,14,CZ,FOB,R001,Walmart,B049,Tech Deck,524,12218.07
2020,9,14,CZ,FOB,R002,Amazon,B061,Monster Jam,242,3658.29
2020,7,11,MX,DOM,R001,Walmart,B020,Magic Blanket Babies,522,18462.16
2020,7,14,NL,DOM,R001,Walmart,B003,Craft Cool,557,35016.17
2020,2,24,MX,FOB,R001,Walmart,B021,Whiffies,480,24525.58
2020,4,24,IN,DOM,R011,Reliance Retail,B053,Minecraft,257,5830.31
2020,8,16,PT,FOB,R001,Walmart,B052,Ionix Pokemon,472,27626.25
2020,5,19,BE,DOM,R001,Walmart,B001,Art,523,18562.85
2020,4,21,FR,FOB,R001,Walmart,B071,Gund License Disney,527,15042.83
2020,11,23,NL,FOB,R001,Walmart,B009,Meccano,473,15979.26
2020,6,23,BE,DOM,R002,Amazon,B029,Paw Patrol Construction,251,16009.57
2020,2,23,CZ,DOM,R002,Amazon,B071,Gund License Disney,333,17300.05
2020,5,20,RO,FOB,R002,Amazon,B076,Flash,223,4440.92
2020,6,13,RO,DOM,R002,Amazon,B009,Meccano,224,8410.23
2020,1,10,FR,FOB,R001,Walmart,B025,Popples,475,16949.11
2020,11,16,UK,DOM,R001,Walmart,B067,Gund License Train Dragon,467,28488.67
2020,4,20,MX,FOB,R002,Amazon,B011,Orbeez,261,8619.09
2020,7,12,UK,DOM,R010,Waitrose,B071,Gund License Disney,267,5985.46
2020,3,23,PL,DOM,R001,Walmart,B076,Flash,506,12408.57
2020,6,10,AT,DOM,R002,Amazon,B067,Gund License Train Dragon,262,11381.27
2020,9,17,WE,DOM,R001,Walmart,B034,Dora the Explorer,451,28806.2
2020,8,19,ES,DOM,R001,Walmart,B001,Art,493,22745.29
2020,2,19,IN,DOM,R002,Amazon,B025,Popples,282,4128.54
2020,6,12,CA,FOB,R001,Walmart,B036,Gabbys Dollhouse,499,33779.01
2020,1,13,IN,DOM,R014,Spencer,B069,Gund License Vida the Vet,205,11717.99
2020,8,21,SK,DOM,R002,Amazon,B014,PixOs,183,9940.66
2020,11,25,AU,FOB,R028,IGA,B057,Ben 10,267,13182.06
2020,12,14,IN,FOB,R012,Big Bazaar,B033,Firebuds,183,12084.2
2020,4,11,SK,DOM,R002,Amazon,B072,Gund License Paw Patrol,286,17876.33
2020,4,12,IN,DOM,R012,Big Bazaar,B052,Ionix Pokemon,292,5264.75
2020,9,17,IT,DOM,R001,Walmart,B063,Star Wars,470,32000.96
2020,4,15,ES,DOM,R001,Walmart,B047,Air Hogs,491,8879.75
2020,3,17,AU,DOM,R026,Woolworths AU,B004,Cool Maker,324,16077.9
2020,7,14,CA,DOM,R002,Amazon,B011,Orbeez,219,4348.43
2020,7,14,AA,DOM,R001,Walmart,B003,Craft Cool,517,23425.2
2020,11,21,US,DOM,R003,Costco,B070,Gund Baby,186,4158.84
2020,4,10,US,DOM,R006,Walgreens,B047,Air Hogs,271,5537.61
2020,1,18,CN,FOB,R002,Amazon,B058,DC Universe,318,14867.67
2020,11,14,ES,DOM,R002,Amazon,B068,Gund License Pusheen,264,12020.36
2020,10,13,FR,DOM,R002,Amazon,B041,Kids Puzzles,193,6764.28
2020,6,11,DE,FOB,R017,Edeka,B041,Kids Puzzles,305,18710.07
2020,10,11,CZ,DOM,R002,Amazon,B048,HEX,314,20072.59
2020,4,23,IN,DOM,R012,Big Bazaar,B049,Tech Deck,237,12427.32
2020,4,11,RO,DOM,R002,Amazon,B011,Orbeez,319,4699.22
2020,7,14,FR,DOM,R002,Amazon,B037,Marbles,205,14095.75
2020,6,15,CZ,FOB,R002,Amazon,B068,Gund License Pusheen,254,11269.59
2020,5,25,ES,DOM,R001,Walmart,B054,Spy Gear,419,8495.11
2020,8,22,AA,FOB,R002,Amazon,B023,DigiBird,266,11213.36
2020,8,16,AU,DOM,R026,Woolworths AU,B054,Spy Gear,283,3775.75
2020,11,12,AT,DOM,R001,Walmart,B026,Crystal Dragons,447,27033.81
2020,10,18,IN,DOM,R001,Walmart,B073,Redakai,501,34454.0
2020,5,10,ES,DOM,R001,Walmart,B068,Gund License Pusheen,503,17785.37
2020,8,20,MX,DOM,R002,Amazon,B069,Gund License Vida the Vet,233,7210.38
2020,2,16,PL,DOM,R001,Walmart,B067,Gund License Train Dragon,495,8134.32
2020,12,14,NL,DOM,R002,Amazon,B047,Air Hogs,249,11475.09
2020,1,24,MX,DOM,R001,Walmart,B054,Spy Gear,559,9940.74
2020,3,10,US,FOB,R003,Costco,B024,Hatchimals,265,5542.96
2020,11,21,ES,DOM,R001,Walmart,B010,MoonLite,533,16011.21
2020,11,12,SK,FOB,R001,Walmart,B051,Dragamonz,506,7991.56
2020,11,20,ES,DOM,R002,Amazon,B039,Cardinal Games,241,4102.17
2020,2,11,FR,DOM,R001,Walmart,B050,Bakugan,528,23717.41
2020,5,23,IN,FOB,R014,Spencer,B034,Dora the Explorer,267,17059.9
2020,6,18,CA,FOB,R001,Walmart,B018,Cheeky Chonks,581,24176.0
2020,7,25,DE,FOB,R002,Amazon,B013,Aqua Dots,193,3622.48
2020,5,23,BE,FOB,R001,Walmart,B070,Gund Baby,487,13623.39
2020,7,19,PL,FOB,R002,Amazon,B046,Puzz4D Brand,252,3249.62
2020,9,10,NL,FOB,R001,Walmart,B069,Gund License Vida the Vet,434,19979.53
2020,12,17,CA,FOB,R001,Walmart,B040,Adult Puzzles,544,16204.43
2020,11,23,PL,DOM,R001,Walmart,B009,Meccano,491,28961.84
2020,6,14,CH,FOB,R002,Amazon,B062,SONY PLAYSTATION,319,4319.38
2020,4,13,FR,DOM,R002,Amazon,B019,Furprize,208,6452.08
2020,2,16,PT,DOM,R001,Walmart,B024,Hatchimals,499,11264.26
2020,5,19,UK,FOB,R009,Asda,B016,Purse Pets,208,12541.38
2020,4,16,CN,FOB,R002,Amazon,B039,Cardinal Games,180,10017.68
2020,8,20,FR,DOM,R002,Amazon,B052,Ionix Pokemon,248,15785.16
2020,8,16,PT,DOM,R001,Walmart,B001,Art,496,9902.03
2020,6,22,AA,DOM,R002,Amazon,B027,Mighty Express,296,12945.46
2020,1,25,IN,FOB,R002,Amazon,B009,Meccano,221,5414.21
2020,5,16,AA,DOM,R001,Walmart,B018,Cheeky Chonks,479,20681.34
2020,12,14,SK,FOB,R001,Walmart,B071,Gund License Disney,451,12082.43
2020,6,12,PT,DOM,R002,Amazon,B002,Text Cool,223,9406.61
2020,11,21,NL,FOB,R002,Amazon,B068,Gund License Pusheen,297,10736.78
2020,12,13,PT,FOB,R002,Amazon,B059,Black Adam Movie,199,6331.48
2020,4,18,WE,DOM,R001,Walmart,B040,Adult Puzzles,484,10888.02
2020,5,11,DE,DOM,R002,Amazon,B012,Paw Patrol Activity,286,5313.58
2020,10,20,CA,DOM,R023,Loblaws,B022,Zoobles,260,11264.47
2020,1,18,CN,DOM,R001,Walmart,B008,Kinetic Sand,547,34764.05
2020,7,12,ES,DOM,R002,Amazon,B027,Mighty Express,246,14134.77
2020,2,16,RO,DOM,R001,Walmart,B068,Gund License Pusheen,501,8729.01
2020,9,14,CA,DOM,R002,Amazon,B032,Vida the Vet,292,18015.34
2020,2,14,PT,DOM,R001,Walmart,B008,Kinetic Sand,511,21035.89
2020,3,12,PT,FOB,R001,Walmart,B014,PixOs,446,19280.65
2020,6,25,NL,DOM,R002,Amazon,B051,Dragamonz,268,12679.68
2020,12,24,RO,FOB,R002,Amazon,B059,Black Adam Movie,250,13251.27
2020,3,14,AT,FOB,R002,Amazon,B008,Kinetic Sand,207,9281.58
2020,1,17,DE,FOB,R015,Aldi,B032,Vida the Vet,226,13113.24
2020,11,12,AA,FOB,R002,Amazon,B032,Vida the Vet,323,12753.87
2020,10,11,CZ,DOM,R002,Amazon,B055,Angry Birds,255,6361.04
2020,12,13,CN,DOM,R001,Walmart,B072,Gund License Paw Patrol,468,13222.94
2020,9,18,RO,FOB,R001,Walmart,B035,GabbysDollhouseValue,530,9554.78
2020,1,15,AA,FOB,R002,Amazon,B046,Puzz4D Brand,216,12192.35
2020,9,11,SK,DOM,R001,Walmart,B024,Hatchimals,454,18818.67
2020,4,15,CN,DOM,R001,Walmart,B068,Gund License Pusheen,565,22770.71
2020,9,18,BE,FOB,R002,Amazon,B070,Gund Baby,240,3453.35
2020,5,12,SK,FOB,R002,Amazon,B027,Mighty Express,315,6208.4
2020,10,22,AU,DOM,R027,Coles,B075,Ionix Dragons,228,7210.74
2020,12,22,RO,FOB,R002,Amazon,B002,Text Cool,232,7291.65
2020,5,16,AT,FOB,R001,Walmart,B014,PixOs,505,9324.92
2020,10,17,CH,DOM,R002,Amazon,B012,Paw Patrol Activity,189,4831.75
2020,9,10,CZ,FOB,R002,Amazon,B030,Paw Value Channel,147,6065.22
2020,5,18,US,DOM,R003,Costco,B020,Magic Blanket Babies,214,5990.54
2020,1,16,CZ,DOM,R002,Amazon,B013,Aqua Dots,233,7925.52
2020,11,12,AU,DOM,R027,Coles,B076,Flash,270,6376.33
2020,9,18,CZ,DOM,R001,Walmart,B073,Redakai,468,25148.83
2020,4,10,RO,DOM,R001,Walmart,B013,Aqua Dots,489,18698.68
2020,1,18,WE,DOM,R001,Walmart,B006,Etch A Sketch,472,9480.03
2020,4,14,CH,DOM,R002,Amazon,B040,Adult Puzzles,279,10381.55
2020,7,25,PL,DOM,R002,Amazon,B017,BITZEE,277,13293.59
2020,12,21,ES,DOM,R002,Amazon,B056,Batman,278,13999.83
2020,5,13,NL,FOB,R002,Amazon,B067,Gund License Train Dragon,266,11628.75
2020,2,21,AU,DOM,R001,Walmart,B015,Masha & The Bear,517,23816.6
2020,10,13,CN,DOM,R001,Walmart,B038,Party Other Games,462,21641.88
2020,3,20,BE,FOB,R001,Walmart,B053,Minecraft,432,16493.95
2020,2,22,AU,FOB,R002,Amazon,B070,Gund Baby,245,9054.02
2020,7,22,IT,FOB,R001,Walmart,B047,Air Hogs,518,30861.23
2020,9,10,FR,DOM,R001,Walmart,B065,Teen Titans Go,465,8002.38
2020,11,11,RO,FOB,R001,Walmart,B015,Masha & The Bear,499,28147.64
2020,3,15,AU,DOM,R002,Amazon,B007,Kinetic Rock,235,8235.05
2020,1,19,PL,FOB,R001,Walmart,B061,Monster Jam,459,22107.05
2020,7,12,AT,FOB,R002,Amazon,B072,Gund License Paw Patrol,258,6704.74
2020,2,15,AA,DOM,R001,Walmart,B057,Ben 10,515,34630.66
2020,1,19,NL,DOM,R001,Walmart,B058,DC Universe,484,12167.44
2020,8,13,PT,FOB,R002,Amazon,B005,Knits Cool,191,12175.56
2020,11,13,CN,FOB,R001,Walmart,B026,Crystal Dragons,516,19883.93
2020,6,12,FR,FOB,R002,Amazon,B020,Magic Blanket Babies,306,5780.43
2020,12,25,IN,DOM,R001,Walmart,B017,BITZEE,488,12850.36
2020,2,17,AT,DOM,R002,Amazon,B038,Party Other Games,271,3976.83
2020,12,23,DE,DOM,R002,Amazon,B044,Hedbanz,278,17280.99
2020,12,16,CZ,FOB,R001,Walmart,B051,Dragamonz,446,30732.88
2020,2,19,CZ,FOB,R001,Walmart,B009,Meccano,494,29793.88
2020,7,10,IT,FOB,R001,Walmart,B008,Kinetic Sand,507,26612.97
2020,7,12,BE,DOM,R001,Walmart,B024,Hatchimals,496,17016.46
2020,11,23,SK,DOM,R002,Amazon,B046,Puzz4D Brand,246,4192.51
2020,7,25,US,FOB,R003,Costco,B057,Ben 10,270,7189.72
2020,11,15,SK,FOB,R002,Amazon,B018,Cheeky Chonks,296,18537.89
2020,1,22,CA,DOM,R001,Walmart,B070,Gund Baby,529,17739.14
2020,12,10,CN,FOB,R002,Amazon,B034,Dora the Explorer,250,5704.31
2020,8,19,ES,FOB,R001,Walmart,B063,Star Wars,554,29333.72
2020,3,17,CZ,DOM,R002,Amazon,B037,Marbles,230,11937.72
2020,6,12,FR,DOM,R001,Walmart,B051,Dragamonz,458,10724.95
2020,12,10,CH,DOM,R002,Amazon,B076,Flash,309,12567.04
2020,9,24,UK,DOM,R009,Asda,B009,Meccano,226,8859.17
2020,5,13,IT,DOM,R001,Walmart,B004,Cool Maker,516,30774.97
2020,5,12,AU,DOM,R026,Woolworths AU,B069,Gund License Vida the Vet,304,11147.35
2020,5,23,SK,FOB,R001,Walmart,B019,Furprize,490,7585.86
2020,7,16,CA,DOM,R001,Walmart,B023,DigiBird,460,7874.03
2020,10,24,CH,FOB,R002,Amazon,B052,Ionix Pokemon,223,11969.01
2020,2,18,CN,DOM,R001,Walmart,B013,Aqua Dots,518,9153.04
2020,1,25,ES,FOB,R002,Amazon,B030,Paw Value Channel,274,8196.46
2020,4,22,CA,FOB,R002,Amazon,B030,Paw Value Channel,288,13025.66
2020,10,23,NL,DOM,R002,Amazon,B038,Party Other Games,226,11890.33
2020,10,11,AU,DOM,R027,Coles,B064,TMNT,269,14228.58
2020,12,16,CN,DOM,R001,Walmart,B065,Teen Titans Go,543,8653.89
2020,7,21,NL,FOB,R001,Walmart,B007,Kinetic Rock,583,24716.24
2020,5,16,SK,DOM,R001,Walmart,B068,Gund License Pusheen,430,26557.99
2020,8,11,DE,FOB,R015,Aldi,B073,Redakai,285,15392.42
2020,5,13,ES,FOB,R001,Walmart,B048,HEX,466,22638.41
2020,3,21,CH,FOB,R001,Walmart,B066,GUND,501,27387.35
2020,10,23,RO,DOM,R001,Walmart,B036,Gabbys Dollhouse,468,5728.01
2020,2,17,CN,DOM,R002,Amazon,B074,Super Dinosaur,262,5047.8
2020,11,19,DE,DOM,R002,Amazon,B071,Gund License Disney,195,2642.86
2020,3,11,CA,DOM,R023,Loblaws,B069,Gund License Vida the Vet,388,16149.32
2020,8,16,SK,FOB,R001,Walmart,B045,Rubiks,517,32567.21
2020,1,11,MX,FOB,R001,Walmart,B005,Knits Cool,498,13966.84
2020,12,14,BE,DOM,R001,Walmart,B008,Kinetic Sand,537,6722.86
2020,8,12,IN,FOB,R014,Spencer,B045,Rubiks,213,12467.95
2020,12,17,AU,DOM,R002,Amazon,B004,Cool Maker,270,5324.16
2020,9,18,BE,DOM,R001,Walmart,B055,Angry Birds,455,5725.37
2020,10,12,MX,DOM,R001,Walmart,B027,Mighty Express,406,24374.36
2020,7,23,WE,FOB,R001,Walmart,B003,Craft Cool,562,25404.1
2020,4,21,CH,DOM,R001,Walmart,B018,Cheeky Chonks,516,34129.66
2020,9,22,RO,FOB,R002,Amazon,B041,Kids Puzzles,194,4832.56
2020,10,16,FR,FOB,R002,Amazon,B014,PixOs,170,4269.04
2020,3,12,PT,FOB,R001,Walmart,B004,Cool Maker,524,16964.2
2020,12,20,AT,DOM,R002,Amazon,B060,Monster Trucks,269,9276.61
2020,10,21,CA,FOB,R025,Sobeys,B005,Knits Cool,367,6497.76
2020,11,10,IN,FOB,R001,Walmart,B016,Purse Pets,524,31470.93
2020,7,24,ES,FOB,R002,Amazon,B052,Ionix Pokemon,205,13641.04
2020,5,19,IN,DOM,R012,Big Bazaar,B058,DC Universe,340,11198.86
2020,1,11,US,DOM,R006,Walgreens,B027,Mighty Express,245,8289.09
2020,5,17,CA,DOM,R025,Sobeys,B029,Paw Patrol Construction,287,14711.48
2020,3,16,SK,DOM,R002,Amazon,B074,Super Dinosaur,269,12337.79
2020,2,20,SK,DOM,R001,Walmart,B041,Kids Puzzles,472,20462.17
2020,11,17,BE,DOM,R002,Amazon,B010,MoonLite,183,12228.42
2020,3,14,IT,DOM,R001,Walmart,B007,Kinetic Rock,478,30690.45
2020,8,16,RO,FOB,R001,Walmart,B076,Flash,422,18905.39
2020,10,16,BE,FOB,R002,Amazon,B036,Gabbys Dollhouse,178,7573.55
2020,9,11,SK,FOB,R002,Amazon,B010,MoonLite,207,14460.17
2020,12,23,MX,DOM,R002,Amazon,B011,Orbeez,235,9882.38
2020,10,16,IN,DOM,R013,DMart,B006,Etch A Sketch,236,7265.19
2020,4,19,BE,DOM,R002,Amazon,B073,Redakai,241,8321.4
2020,5,12,US,DOM,R005,Best Buy,B016,Purse Pets,158,10465.26
2020,10,13,AU,DOM,R026,Woolworths AU,B053,Minecraft,275,9865.93
2020,4,21,FR,DOM,R002,Amazon,B004,Cool Maker,248,16734.99
2020,1,18,CZ,DOM,R001,Walmart,B035,GabbysDollhouseValue,497,25135.66
2020,2,15,SK,FOB,R002,Amazon,B054,Spy Gear,260,17937.24
2020,6,22,AA,FOB,R002,Amazon,B029,Paw Patrol Construction,220,5313.98
2020,8,10,PL,DOM,R002,Amazon,B034,Dora the Explorer,243,9454.26
2020,4,23,CN,DOM,R001,Walmart,B017,BITZEE,577,7396.73
2020,8,25,CN,DOM,R001,Walmart,B076,Flash,501,16023.11
2020,6,17,PT,DOM,R001,Walmart,B071,Gund License Disney,546,7274.98
2020,12,12,AA,FOB,R002,Amazon,B047,Air Hogs,274,4059.28
2020,6,19,NL,DOM,R001,Walmart,B008,Kinetic Sand,536,15374.86
2020,10,23,FR,FOB,R001,Walmart,B065,Teen Titans Go,494,15299.5
2020,3,24,CN,FOB,R002,Amazon,B053,Minecraft,171,8445.58
2020,5,23,AT,DOM,R002,Amazon,B059,Black Adam Movie,264,8830.74
2020,10,20,CN,FOB,R002,Amazon,B042,Board Games,219,11553.1
2020,2,11,RO,FOB,R001,Walmart,B070,Gund Baby,513,6206.49
2020,2,18,FR,DOM,R001,Walmart,B035,GabbysDollhouseValue,393,5818.32
2020,11,13,WE,DOM,R002,Amazon,B033,Firebuds,313,15831.01
2020,7,19,AU,FOB,R027,Coles,B021,Whiffies,292,11002.02
2020,5,14,BE,FOB,R002,Amazon,B057,Ben 10,256,13948.17
2020,5,12,WE,FOB,R001,Walmart,B020,Magic Blanket Babies,533,31006.73
2020,6,14,IN,DOM,R014,Spencer,B027,Mighty Express,260,11619.65
2020,6,20,IT,FOB,R002,Amazon,B034,Dora the Explorer,270,16541.24
2020,1,24,AA,DOM,R001,Walmart,B028,Rusty Rivets,502,25672.03
2020,8,19,FR,DOM,R001,Walmart,B021,Whiffies,469,15899.97
2020,10,23,MX,FOB,R002,Amazon,B057,Ben 10,223,3276.11
2020,9,16,FR,DOM,R002,Amazon,B039,Cardinal Games,193,8121.32
2020,9,23,CH,DOM,R002,Amazon,B031,Paw Patrol,311,17841.42
2020,4,24,US,FOB,R001,Walmart,B026,Crystal Dragons,537,16431.35
2020,6,13,PL,FOB,R001,Walmart,B012,Paw Patrol Activity,582,24131.84
2020,6,11,IN,FOB,R011,Reliance Retail,B065,Teen Titans Go,316,17579.63
2020,11,16,BE,FOB,R001,Walmart,B025,Popples,505,29758.47
2020,3,16,UK,DOM,R010,Waitrose,B032,Vida the Vet,204,4913.4
2020,6,23,AU,FOB,R002,Amazon,B059,Black Adam Movie,216,9347.87
2020,8,20,FR,DOM,R002,Amazon,B011,Orbeez,275,19001.66
2020,9,20,WE,FOB,R001,Walmart,B004,Cool Maker,537,13255.45
2020,4,10,FR,DOM,R002,Amazon,B036,Gabbys Dollhouse,272,6027.9
2020,10,19,IN,DOM,R011,Reliance Retail,B044,Hedbanz,175,3152.04
2020,3,20,AU,DOM,R028,IGA,B074,Super Dinosaur,261,14654.2
2020,10,24,RO,DOM,R001,Walmart,B052,Ionix Pokemon,565,29534.15
2020,9,22,WE,FOB,R002,Amazon,B018,Cheeky Chonks,210,12856.44
2020,8,13,MX,FOB,R001,Walmart,B044,Hedbanz,448,24871.34
2020,7,20,SK,DOM,R001,Walmart,B003,Craft Cool,545,27099.92
2020,5,21,IT,FOB,R001,Walmart,B048,HEX,549,24177.13
2020,4,22,ES,DOM,R001,Walmart,B074,Super Dinosaur,494,31830.5
2020,12,24,CH,DOM,R001,Walmart,B043,Big Potato Games,504,11532.8
2020,5,17,DE,DOM,R016,Lidl,B049,Tech Deck,172,2960.09
2020,2,10,MX,FOB,R001,Walmart,B018,Cheeky Chonks,531,9962.4
2020,7,15,IT,DOM,R002,Amazon,B004,Cool Maker,197,12987.12
2020,5,19,ES,DOM,R001,Walmart,B046,Puzz4D Brand,492,9725.62
2020,5,24,SK,DOM,R002,Amazon,B070,Gund Baby,326,17273.91
2020,10,23,NL,FOB,R001,Walmart,B062,SONY PLAYSTATION,519,17886.77
2020,9,16,BE,DOM,R002,Amazon,B070,Gund Baby,293,19622.24
2020,1,11,PL,DOM,R001,Walmart,B062,SONY PLAYSTATION,473,6491.13
2020,1,16,MX,DOM,R001,Walmart,B032,Vida the Vet,523,31434.88
2020,8,22,RO,DOM,R002,Amazon,B016,Purse Pets,287,6270.67
2020,8,16,DE,DOM,R002,Amazon,B003,Craft Cool,221,8649.61
2020,1,11,AU,FOB,R026,Woolworths AU,B069,Gund License Vida the Vet,316,10270.72
2020,8,23,NL,FOB,R002,Amazon,B066,GUND,169,8119.82
2020,8,17,CH,FOB,R001,Walmart,B057,Ben 10,521,30347.67
2020,1,20,US,DOM,R003,Costco,B021,Whiffies,278,15946.96
2020,11,19,WE,FOB,R001,Walmart,B029,Paw Patrol Construction,522,21394.23
2020,5,15,BE,DOM,R002,Amazon,B018,Cheeky Chonks,317,7351.98
2020,5,19,AT,DOM,R001,Walmart,B029,Paw Patrol Construction,504,24412.9
2020,1,25,BE,DOM,R001,Walmart,B037,Marbles,516,24541.67
2020,1,24,IT,FOB,R001,Walmart,B045,Rubiks,504,23989.68
2020,11,15,PT,FOB,R001,Walmart,B036,Gabbys Dollhouse,539,7416.93
2020,2,11,NL,FOB,R001,Walmart,B060,Monster Trucks,472,21127.11
2020,4,11,RO,FOB,R001,Walmart,B002,Text Cool,510,15399.49
2020,5,12,CA,DOM,R023,Loblaws,B025,Popples,297,18171.89
2020,6,13,MX,FOB,R001,Walmart,B053,Minecraft,498,20360.53
2020,4,24,AT,FOB,R001,Walmart,B070,Gund Baby,482,30307.05
2020,7,17,IT,DOM,R002,Amazon,B010,MoonLite,286,11881.09
2020,11,10,WE,DOM,R001,Walmart,B018,Cheeky Chonks,399,22552.06
2020,9,12,AA,FOB,R001,Walmart,B067,Gund License Train Dragon,523,21183.3
2020,8,12,AT,FOB,R002,Amazon,B059,Black Adam Movie,252,17188.34
2020,11,11,PL,DOM,R001,Walmart,B053,Minecraft,523,12124.86
2020,4,23,CZ,DOM,R001,Walmart,B053,Minecraft,402,7986.36
2020,5,24,BE,FOB,R001,Walmart,B053,Minecraft,476,23848.62
2020,3,14,CA,DOM,R023,Loblaws,B061,Monster Jam,328,11421.25
2020,11,19,AA,DOM,R002,Amazon,B024,Hatchimals,262,7359.24
2020,10,25,DE,FOB,R002,Amazon,B028,Rusty Rivets,361,17777.24
2020,11,11,UK,FOB,R009,Asda,B044,Hedbanz,253,15262.06
2020,7,19,FR,FOB,R002,Amazon,B056,Batman,240,9148.3
2020,12,17,ES,FOB,R002,Amazon,B041,Kids Puzzles,245,6785.93
2020,2,11,DE,FOB,R016,Lidl,B038,Party Other Games,239,3397.48
2020,5,17,DE,DOM,R002,Amazon,B023,DigiBird,222,12304.95
2020,12,20,CA,FOB,R002,Amazon,B005,Knits Cool,251,10807.3
